# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDurationAvgMs,1747808656086000000,1747808713113000000,0.0
Indexes.stubs.lookupDurationMaxMs,1747808656086000000,1747808713113000000,0.0
workspaceModel.updates.precise.ms,1747808656086000000,1747808713113000000,0
workspaceModel.pre.handlers.ms,1747808656086000000,1747808713113000000,2
workspaceModel.updates.count,1747808656086000000,1747808713113000000,3
workspaceModel.loading.from.cache.ms,1747808656086000000,1747808713113000000,1254
workspaceModel.check.recursive.update.ms,1747808656086000000,1747808713113000000,2
workspaceModel.replace.project.model.ms,1747808656086000000,1747808713113000000,0
workspaceModel.collect.changes.ms,1747808656086000000,1747808713113000000,51
workspaceModel.loading.total.ms,1747808656086000000,1747808713113000000,1575
workspaceModel.init.bridges.ms,1747808656086000000,1747808713113000000,130
workspaceModel.update.unloaded.entities.ms,1747808656086000000,1747808713113000000,0
workspaceModel.to.snapshot.ms,1747808656086000000,1747808713113000000,1
workspaceModel.updates.ms,1747808656086000000,1747808713113000000,3364
workspaceModel.initializing.ms,1747808656086000000,1747808713113000000,130
FileNameCache.queries,1747808656086000000,1747808713113000000,1001747
FileNameCache.totalMisses,1747808656086000000,1747808713113000000,82156
workspaceModel.moduleManagerBridge.newModule.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747808656086000000,1747808713113000000,1874
jps.modifiable.module.model.bridge.disposing.ms,1747808656086000000,1747808713113000000,0
jps.library.entities.serializer.save.entities.ms,1747808656086000000,1747808713113000000,0
jps.global.initialize.library.bridges.ms,1747808656086000000,1747808713113000000,0
jps.apply.loaded.storage.ms,1747808656086000000,1747808713113000000,1995
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747808656086000000,1747808713113000000,0
jps.artifact.entities.serializer.load.entities.ms,1747808656086000000,1747808713113000000,0
workspaceModel.orphan.listener.update.ms,1747808656086000000,1747808713113000000,6
jps.app.storage.content.reader.load.component.ms,1747808656086000000,1747808713113000000,1
jps.artifact.entities.serializer.save.entities.ms,1747808656086000000,1747808713113000000,0
jps.reload.project.entities.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747808656086000000,1747808713113000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747808656086000000,1747808713113000000,1506
workspaceModel.sync.entities.ms,1747808656086000000,1747808713113000000,0
jps.module.iml.entities.serializer.save.entities.ms,1747808656086000000,1747808713113000000,20
jps.modifiable.module.model.bridge.renaming.ms,1747808656086000000,1747808713113000000,0
jps.modifiable.module.model.bridge.new.module.ms,1747808656086000000,1747808713113000000,4146
workspaceModel.global.apply.state.to.project.builder.ms,1747808656086000000,1747808713113000000,440
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747808656086000000,1747808713113000000,8396
jps.library.entities.serializer.load.entities.ms,1747808656086000000,1747808713113000000,0
